Crime_Type,Crime,Latitude,Longitude,Severity,Description
Theft,Pickpocketing,28.564041,77.334413,2,Victim lost wallet in a crowded market.
Theft,Theft of Vehicle,28.474771,77.476268,5,Car stolen from parking lot.
Assault,Battery,28.475000,77.477000,4,Physical altercation between two individuals.
Burglary,Burglary,28.460000,77.450000,5,House was broken into at night.
Theft,Shoplifting,28.474500,77.475500,3,Individual caught stealing clothes from a store.
Vandalism,Graffiti,28.459000,77.460000,2,Wall tagged with graffiti in public park.
Theft,Theft from Person,28.567000,77.336000,3,Cell phone grabbed from hand.
Assault,Assault with Intent,28.458000,77.455000,4,Attack during a late-night walk.
Road Violation,Reckless Driving,28.470000,77.490000,2,Driver speeding and weaving through traffic.
Theft,Theft from Vehicle,28.474500,77.476500,3,Items stolen from unlocked car.
Burglary,Attempted Burglary,28.462000,77.448000,3,Intruder fled before entering the house.
Vandalism,Property Damage,28.560000,77.335000,3,Damaged benches in a community park.
Assault,Domestic Violence,28.475500,77.479000,5,Report of ongoing domestic dispute.
Theft,Identity Theft,28.457000,77.450000,4,Victim’s financial details compromised.
Drug Offense,Possession,28.468000,77.485000,4,Individual found with illegal substances.
Theft,Purse Snatching,28.566000,77.335500,3,Victim's purse grabbed while walking.
Assault,Aggravated Assault,28.476000,77.478500,5,Serious injury from a fight.
Robbery,Armed Robbery,28.470500,77.482500,5,Victim threatened with a weapon for money.
Traffic Violation,DUI,28.463000,77.490000,4,Driver arrested for intoxication.
Drug Offense,Distribution,28.469500,77.480500,5,Suspect dealing drugs on the street.
Vandalism,Window Smash,28.461000,77.452000,2,Property vandalized with broken glass.
Theft,Carjacking,28.459500,77.458000,5,Victim's vehicle taken at gunpoint.
Vandalism,Destruction of Property,28.470000,77.479000,3,Community center damaged.
Assault,Verbal Threat,28.474000,77.484000,2,Threat made but no physical harm.
Theft,Online Fraud,28.467000,77.482000,4,Scammed online shopping victim.
Theft,Shoplifting,28.471000,77.480000,3,Caught stealing electronics in store.
Burglary,Burglary to Vehicle,28.458000,77.453000,3,Tools stolen from pickup truck.
Theft,Credit Card Fraud,28.475000,77.481000,4,Victim notified of charges made without consent.
Granted,Theft,28.474500,77.442000,3,Personal items taken from picnic area.
Assault,Public Disorder,28.565000,77.334000,2,Disturbance in public caused by intoxicated individuals.
Violent Crime,Armed Robbery,28.47512,77.47598,9,"A late-night confrontation involving firearms at a major intersection."
Property Crime,Vehicle Theft,28.47490,77.47640,7,"Stolen car reported from a residential parking area. Vehicle make: Honda City."
Public Disorder,Vandalism,28.56395,77.33455,2,"Graffiti spray-painted on a public wall near a market."
Violent Crime,Assault,28.47460,77.47610,8,"Physical altercation outside a bar; one individual hospitalized."
Property Crime,Burglary,28.47445,77.47630,8,"Home invasion reported in a secluded villa area. Electronics and jewelry missing."
Non-Violent Crime,Pickpocketing,28.56410,77.33430,3,"Wallet stolen from a commuter at a busy bus stop."
Public Disorder,Street Harassment,28.45720,77.50045,4,"Report of cat-calling and intimidation near a university campus."
Property Crime,Theft from Vehicle,28.47530,77.47660,6,"Window smashed, laptop and bag stolen from a parked car."
Non-Violent Crime,Shoplifting,28.56420,77.33420,1,"Minor merchandise stolen from a convenience store during rush hour."
Violent Crime,Kidnapping Attempt,28.47480,77.47580,10,"Report of an attempted abduction of a child near a park. Suspect fled."
Property Crime,Bike Theft,28.45710,77.50035,5,"Motorcycle stolen from a residential parking lot; security footage unclear."
Public Disorder,Noise Complaint,28.56400,77.33440,1,"Loud music reported from an apartment late at night."
Violent Crime,Grievous Hurt,28.47420,77.47650,9,"Victim sustained serious injuries from an attack with a blunt object."
Property Crime,Theft of Personal Items,28.47500,77.47600,5,"Mobile phone snatched from a pedestrian while talking."
Non-Violent Crime,Pickpocketing,28.45700,77.50050,3,"Tourist reported their passport and money stolen from a backpack."
Public Disorder,Public Intoxication,28.56380,77.33460,2,"Individual found heavily intoxicated and causing a scene in a public square."
Property Crime,Theft by Deception,28.47495,77.47625,6,"Elderly person scammed out of cash by a fake service provider."
Non-Violent Crime,Pickpocketing,28.56405,77.33435,3,"Cash taken from a purse in a crowded shopping mall."
Property Crime,Vehicle Theft,28.45715,77.50040,7,"Scooter stolen from outside a coaching center."
Violent Crime,Sexual Assault,28.47470,77.47615,10,"Report filed regarding an incident in a secluded underpass."
Property Crime,Minor Theft,28.56415,77.33425,2,"Delivery package stolen from a doorstep."
Public Disorder,Illegal Gambling,28.47520,77.47650,4,"Police raided an illegal gambling den operating out of a back alley."
Non-Violent Crime,Pickpocketing,28.45705,77.50045,3,"Cell phone snatched near a metro station exit."
Property Crime,Burglary,28.47455,77.47605,8,"Forced entry into a ground floor apartment; high-value items taken."
Violent Crime,Assault with Weapon,28.47430,77.47640,9,"Attack reported involving a knife; victim is in stable condition."
Non-Violent Crime,Pickpocketing,28.56390,77.33450,3,"Wallet stolen from a jacket pocket on a crowded street."
Property Crime,Theft of Personal Items,28.45725,77.50030,5,"Gold chain snatched off a pedestrian during a morning walk."
Public Disorder,Unruly Behavior,28.47510,77.47630,3,"Group of youths causing disruption and harassing passersby."
Non-Violent Crime,Shoplifting,28.56425,77.33415,1,"Teenagers caught attempting to steal snacks from a supermarket."
Property Crime,Theft from Vehicle,28.45700,77.50050,6,"Car stereo and navigation system stolen from a locked car."
Violent Crime,Homicide,28.47477,77.47627,10,"Body discovered in a secluded construction site. Investigation ongoing."
Non-Violent Crime,Pickpocketing,28.56404,77.33441,3,"Theft reported on a public transport bus route."
Property Crime,Vehicle Theft,28.45714,77.50040,7,"Luxury SUV stolen during daylight hours from a mall parking lot."
Public Disorder,Trespassing,28.47465,77.47610,2,"Individual found illegally entering a private factory compound."
Non-Violent Crime,Pickpocketing,28.56398,77.33446,3,"Tourists targeted in a busy street market."
Property Crime,Minor Theft,28.45718,77.50036,2,"Bicycle lock cut and bike stolen from a school premise."
Violent Crime,Road Rage Assault,28.47505,77.47650,7,"Physical fight escalated from a minor traffic accident."
Non-Violent Crime,Pickpocketing,28.56401,77.33443,3,"Mobile phone stolen from a person sitting at an outdoor cafe."
Property Crime,Theft of Personal Items,28.45722,77.50038,5,"Briefcase containing sensitive documents stolen from an office worker."
Violent Crime,Domestic Violence,28.47435,77.47620,9,"Police responded to a severe domestic dispute at a residential address."
Property Crime,Vehicle Theft,28.47515,77.47635,7,"Truck stolen from an industrial area overnight."
Non-Violent Crime,Pickpocketing,28.56408,77.33438,3,"Keys and wallet stolen from a backpack while walking."
Public Disorder,Loud Party,28.45708,77.50042,1,"Late-night complaint about excessive noise from a rented venue."
Property Crime,Burglary Attempt,28.47485,77.47600,6,"Suspects attempted to break into a jewelry store but were deterred by an alarm."
Non-Violent Crime,Pickpocketing,28.56392,77.33453,3,"Man's watch stolen without him noticing in a crowded elevator."
Property Crime,Minor Theft,28.45712,77.50033,2,"Flower pots stolen from the entrance of a house."
Violent Crime,Stalking,28.47450,77.47645,7,"Restraining order violation reported; suspect seen near the victim's workplace."
Theft,Pickpocketing,28.564041,77.334413,1,Pickpocketing incident in a crowded market area.
Assault,Physical Assault,28.474771,77.476268,4,Physical assault reported near a popular park.
Theft,Shoplifting,28.458000,77.497000,2,Shoplifting incident at a local convenience store.
Robbery,Armed Robbery,28.476000,77.472000,5,Armed robbery at a gas station.
Burglary,Break-in,28.469000,77.486000,3,Break-in at a residential property.
Theft,Pickpocketing,28.564041,77.334413,1,Pickpocketing identified at a busy subway station.
Fraud,Online Fraud,28.450000,77.480000,2,Online fraud reported through a local business.
Assault,Verbal Assault,28.474900,77.476000,2,Verbal assault reported in a public setting.
Theft,Theft from Vehicle,28.460000,77.496000,3,Theft from an unattended vehicle reported in a parking lot.
Vandalism,Graffiti,28.470000,77.470000,2,Graffiti found on the side of a building.
Robbery,Carjacking,28.465000,77.490000,5,Carjacking incident near a supermarket.
Assault,Domestic Violence,28.475000,77.477000,4,Domestic violence reported at a home.
Theft,Bike Theft,28.564041,77.334413,3,Bike stolen from a bike rack near the park.
Theft,Shoplifting,28.457000,77.500400,2,Shoplifting incident at a local grocery store.
Fraud,Identity Theft,28.470000,77.485000,3,Identity theft reported by a victim through email.
Vandalism,Property Damage,28.464000,77.490000,2,Property damage reported at a local community center.
Theft,Wallet Snatching,28.564041,77.334413,1,Wallet snatched during an outdoor event.
Assault,Public Disorder,28.474000,77.476500,3,Public disturbance leading to minor injuries.
Theft,Pickpocketing,28.457140,77.500399,1,Pickpocketing reported at a crowded local bazaar.
Robbery,Home Invasion,28.462000,77.494000,4,Home invasion reported at a suburban house.
Fraud,Investment Scam,28.455000,77.477000,2,Investment scam reported by an individual.
Assault,Street Fight,28.466000,77.476000,3,Street fight reported after a sports event.
Theft,recycling bin theft,28.467000,77.488000,1,Theft of materials from a residential recycling bin.
Vandalism,Park Damage,28.465000,77.472000,2,Damage done to public park benches.
Robbery,Pickpocketing,28.564041,77.334413,1,Another pickpocketing case in a tourist spot.
Fraud,Phone Scams,28.450000,77.476500,3,Multiple reports of phone scams targeting elderly citizens.
Theft,Laptop Theft,28.457140,77.500399,3,Laptop stolen from a student at coffee shop.
Assault,Physical Assault,28.474000,77.470000,4,Physical assault at a nightclub.
Theft,Iphone Theft,28.462000,77.496500,3,Iphone stolen from a table at a coffee shop.
